PAY_TABLE,START_DATE,END_DATE,PAY_PLAN,GRADE,STEP,BASIC_SALARY
U110,2022-07-25,4712-12-31,AD,17,05,107657
U110,2022-07-25,4712-12-31,AD,17,06,109922
U110,2022-07-25,4712-12-31,AD,17,07,112206
U110,2022-07-25,4712-12-31,AD,17,08,114515
U110,2022-07-25,4712-12-31,AD,17,09,116837
U110,2022-07-25,4712-12-31,AD,17,10,119174
U110,2022-07-25,4712-12-31,AD,17,11,121531
U110,2022-07-25,4712-12-31,AD,17,12,123901
U110,2022-07-25,4712-12-31,AD,17,13,126276
U110,2022-07-25,4712-12-31,AD,17,14,128664
U110,2022-07-25,4712-12-31,AD,17,15,131057
U110,2022-07-25,4712-12-31,AD,17,16,133456
U110,2022-07-25,4712-12-31,AD,13,08,92816
U110,2022-07-25,4712-12-31,AD,11,00,70079
U110,2022-07-25,4712-12-31,AD,11,01,72217
U110,2022-07-25,4712-12-31,AD,11,02,74380
U110,2022-07-25,4712-12-31,AD,11,03,76567
U110,2022-07-25,4712-12-31,AD,11,04,78788
U110,2022-07-25,4712-12-31,AD,11,05,81029
U110,2022-07-25,4712-12-31,AD,11,06,83292
U110,2022-07-25,4712-12-31,AD,11,07,85577
U110,2022-07-25,4712-12-31,AD,11,08,87888
U110,2022-07-25,4712-12-31,AD,11,09,90211
U110,2022-07-25,4712-12-31,AD,11,10,92547
U110,2022-07-25,4712-12-31,AD,11,11,94907
U110,2022-07-25,4712-12-31,AD,11,12,97273
U110,2022-07-25,4712-12-31,AD,11,13,99649
U110,2022-07-25,4712-12-31,AD,11,14,102037
U110,2022-07-25,4712-12-31,AD,11,15,104431
U110,2022-07-25,4712-12-31,AD,11,16,106833
U110,2022-07-25,4712-12-31,AD,11,17,109227
U110,2022-07-25,4712-12-31,AD,11,18,111623
U110,2022-07-25,4712-12-31,AD,11,19,114020
U110,2022-07-25,4712-12-31,AD,11,20,116409
U110,2022-07-25,4712-12-31,AD,11,21,118785
U110,2022-07-25,4712-12-31,AD,11,22,121157
U110,2022-07-25,4712-12-31,AD,11,23,123514
U110,2022-07-25,4712-12-31,AD,11,24,125850
U110,2022-07-25,4712-12-31,AD,11,25,128174
U110,2022-07-25,4712-12-31,AD,11,26,130478
U110,2022-07-25,4712-12-31,AD,11,27,132753
U110,2022-07-25,4712-12-31,AD,11,28,135006
U110,2022-07-25,4712-12-31,AD,11,29,137227
U110,2022-07-25,4712-12-31,AD,13,10,97477
U110,2022-07-25,4712-12-31,AD,13,11,99833
U110,2022-07-25,4712-12-31,AD,13,12,102204
U110,2022-07-25,4712-12-31,AD,13,13,104583
U110,2022-07-25,4712-12-31,AD,13,14,106968
U110,2022-07-25,4712-12-31,AD,13,15,109361
U110,2022-07-25,4712-12-31,AD,13,16,111759
U110,2022-07-25,4712-12-31,AD,13,17,114158
U110,2022-07-25,4712-12-31,AD,13,18,116554
U110,2022-07-25,4712-12-31,AD,13,19,118951
U110,2022-07-25,4712-12-31,AD,13,20,121333
U110,2022-07-25,4712-12-31,AD,13,21,123719
U110,2022-07-25,4712-12-31,AD,13,22,126084
U110,2022-07-25,4712-12-31,AD,13,23,128442
U110,2022-07-25,4712-12-31,AD,13,24,130785
U110,2022-07-25,4712-12-31,AD,13,25,133110
U110,2022-07-25,4712-12-31,AD,13,26,135407
U110,2022-07-25,4712-12-31,AD,13,27,137686
U110,2022-07-25,4712-12-31,AD,13,28,139935
U110,2022-07-25,4712-12-31,AD,13,29,142157
U110,2022-07-25,4712-12-31,AD,14,00,80187
U110,2022-07-25,4712-12-31,AD,14,01,82328
U110,2022-07-25,4712-12-31,AD,14,02,84487
U110,2022-07-25,4712-12-31,AD,14,03,86676
U110,2022-07-25,4712-12-31,AD,14,04,88895
U110,2022-07-25,4712-12-31,AD,14,05,91134
U110,2022-07-25,4712-12-31,AD,14,06,93402
U110,2022-07-25,4712-12-31,AD,14,07,95688
U110,2022-07-25,4712-12-31,AD,14,08,97995
U110,2022-07-25,4712-12-31,AD,14,09,100317
U110,2022-07-25,4712-12-31,AD,14,10,102660
U110,2022-07-25,4712-12-31,AD,14,11,105013
U110,2022-07-25,4712-12-31,AD,14,12,107383
U110,2022-07-25,4712-12-31,AD,14,13,109759
U110,2022-07-25,4712-12-31,AD,14,14,112146
U110,2022-07-25,4712-12-31,AD,14,15,114538
U110,2022-07-25,4712-12-31,AD,14,16,116935
U110,2022-07-25,4712-12-31,AD,13,09,95140
U110,2022-07-25,4712-12-31,AD,12,00,72544
U110,2022-07-25,4712-12-31,AD,12,01,74681
U110,2022-07-25,4712-12-31,AD,12,02,76845
U110,2022-07-25,4712-12-31,AD,12,03,79034
U110,2022-07-25,4712-12-31,AD,12,04,81250
U110,2022-07-25,4712-12-31,AD,12,05,83491
U110,2022-07-25,4712-12-31,AD,12,06,85757
U110,2022-07-25,4712-12-31,AD,12,07,88044
U110,2022-07-25,4712-12-31,AD,12,08,90353
U110,2022-07-25,4712-12-31,AD,12,09,92673
U110,2022-07-25,4712-12-31,AD,12,10,95014
U110,2022-07-25,4712-12-31,AD,12,11,97370
U110,2022-07-25,4712-12-31,AD,12,12,99741
U110,2022-07-25,4712-12-31,AD,12,13,102119
U110,2022-07-25,4712-12-31,AD,12,14,104505
U110,2022-07-25,4712-12-31,AD,12,15,106898
U110,2022-07-25,4712-12-31,AD,12,16,109292
U110,2022-07-25,4712-12-31,AD,12,17,111692
U110,2022-07-25,4712-12-31,AD,12,18,114090
U110,2022-07-25,4712-12-31,AD,12,19,116485
U110,2022-07-25,4712-12-31,AD,12,20,118870
U110,2022-07-25,4712-12-31,AD,12,21,121254
U110,2022-07-25,4712-12-31,AD,12,22,123623
U110,2022-07-25,4712-12-31,AD,12,23,125977
U110,2022-07-25,4712-12-31,AD,12,24,128319
U110,2022-07-25,4712-12-31,AD,12,25,130638
U110,2022-07-25,4712-12-31,AD,12,26,132943
U110,2022-07-25,4712-12-31,AD,14,18,121731
U110,2022-07-25,4712-12-31,AD,14,19,124125
U110,2022-07-25,4712-12-31,AD,14,20,126514
U110,2022-07-25,4712-12-31,AD,14,21,128897
U110,2022-07-25,4712-12-31,AD,14,22,131265
U110,2022-07-25,4712-12-31,AD,14,23,133625
U110,2022-07-25,4712-12-31,AD,14,24,135961
U110,2022-07-25,4712-12-31,AD,14,25,138285
U110,2022-07-25,4712-12-31,AD,14,26,140589
U110,2022-07-25,4712-12-31,AD,14,27,142861
U110,2022-07-25,4712-12-31,AD,14,28,145111
U110,2022-07-25,4712-12-31,AD,14,29,147334
U110,2022-07-25,4712-12-31,AD,15,00,85366
U110,2022-07-25,4712-12-31,AD,15,01,87502
U110,2022-07-25,4712-12-31,AD,15,02,89665
U110,2022-07-25,4712-12-31,AD,15,03,91859
U110,2022-07-25,4712-12-31,AD,15,04,94074
U110,2022-07-25,4712-12-31,AD,15,05,96313
U110,2022-07-25,4712-12-31,AD,15,06,98579
U110,2022-07-25,4712-12-31,AD,14,17,119336
U130,2022-07-25,4712-12-31,AD,11,27,165940
U130,2022-07-25,4712-12-31,AD,11,28,168754
U130,2022-07-25,4712-12-31,AD,11,29,171531
U130,2022-07-25,4712-12-31,AD,12,00,90679
U130,2022-07-25,4712-12-31,AD,12,01,93356
U130,2022-07-25,4712-12-31,AD,12,02,96053
U130,2022-07-25,4712-12-31,AD,12,03,98796
U130,2022-07-25,4712-12-31,AD,12,04,101563
U130,2022-07-25,4712-12-31,AD,12,05,104365
U130,2022-07-25,4712-12-31,AD,12,06,107198
U130,2022-07-25,4712-12-31,AD,12,07,110054
U130,2022-07-25,4712-12-31,AD,12,08,112936
U130,2022-07-25,4712-12-31,AD,12,09,115843
U130,2022-07-25,4712-12-31,AD,12,10,118771
U130,2022-07-25,4712-12-31,AD,12,11,121711
U130,2022-07-25,4712-12-31,AD,12,12,124672
U130,2022-07-25,4712-12-31,AD,12,13,127648
U130,2022-07-25,4712-12-31,AD,12,14,130628
U130,2022-07-25,4712-12-31,AD,12,15,133625
U130,2022-07-25,4712-12-31,AD,12,16,136615
U130,2022-07-25,4712-12-31,AD,12,17,139616
U130,2022-07-25,4712-12-31,AD,12,18,142613
U130,2022-07-25,4712-12-31,AD,12,19,145604
U130,2022-07-25,4712-12-31,AD,12,20,148592
U130,2022-07-25,4712-12-31,AD,12,21,151563
U130,2022-07-25,4712-12-31,AD,12,22,154526
U130,2022-07-25,4712-12-31,AD,12,23,157475
U130,2022-07-25,4712-12-31,AD,12,24,160397
U130,2022-07-25,4712-12-31,AD,12,25,163300
U130,2022-07-25,4712-12-31,AD,12,26,166179
U130,2022-07-25,4712-12-31,AD,12,27,169022
U130,2022-07-25,4712-12-31,AD,12,28,171838
U130,2022-07-25,4712-12-31,AD,12,29,174611
U130,2022-07-25,4712-12-31,AD,13,00,93761
U130,2022-07-25,4712-12-31,AD,13,01,96430
U130,2022-07-25,4712-12-31,AD,13,02,99140
U130,2022-07-25,4712-12-31,AD,13,04,104646
U130,2022-07-25,4712-12-31,AD,13,05,107447
U130,2022-07-25,4712-12-31,AD,13,06,110279
U130,2022-07-25,4712-12-31,AD,13,07,113138
U130,2022-07-25,4712-12-31,AD,13,08,116016
U130,2022-07-25,4712-12-31,AD,13,09,118926
U130,2022-07-25,4712-12-31,AD,13,10,121847
U130,2022-07-25,4712-12-31,AD,13,11,124794
U130,2022-07-25,4712-12-31,AD,13,12,127754
U130,2022-07-25,4712-12-31,AD,13,13,130728
U130,2022-07-25,4712-12-31,AD,13,14,133714
U130,2022-07-25,4712-12-31,AD,13,15,136700
U130,2022-07-25,4712-12-31,AD,13,16,139699
U130,2022-07-25,4712-12-31,AD,13,17,142695
U130,2022-07-25,4712-12-31,AD,13,18,145692
U130,2022-07-25,4712-12-31,AD,13,19,148684
U130,2022-07-25,4712-12-31,AD,13,20,151671
U130,2022-07-25,4712-12-31,AD,13,21,154649
U130,2022-07-25,4712-12-31,AD,13,22,157609
U130,2022-07-25,4712-12-31,AD,13,23,160553
U130,2022-07-25,4712-12-31,AD,13,24,163483
U130,2022-07-25,4712-12-31,AD,13,25,166384
U130,2022-07-25,4712-12-31,AD,13,26,169259
U130,2022-07-25,4712-12-31,AD,13,27,172106
U130,2022-07-25,4712-12-31,AD,13,28,174919
U130,2022-07-25,4712-12-31,AD,13,29,177693
U130,2022-07-25,4712-12-31,AD,14,00,100236
U130,2022-07-25,4712-12-31,AD,14,01,102906
U130,2022-07-25,4712-12-31,AD,14,02,105611
U130,2022-07-25,4712-12-31,AD,14,03,108347
U130,2022-07-25,4712-12-31,AD,14,04,111119
U130,2022-07-25,4712-12-31,AD,14,05,113919
U130,2022-07-25,4712-12-31,AD,14,06,116749
U130,2022-07-25,4712-12-31,AD,13,03,101880
U130,2022-07-25,4712-12-31,AD,11,00,87598
U130,2022-07-25,4712-12-31,AD,11,01,90270
U130,2022-07-25,4712-12-31,AD,11,02,92975
U130,2022-07-25,4712-12-31,AD,11,03,95710
U130,2022-07-25,4712-12-31,AD,11,04,98482
U130,2022-07-25,4712-12-31,AD,11,05,101282
U130,2022-07-25,4712-12-31,AD,11,06,104113
U130,2022-07-25,4712-12-31,AD,11,07,106971
U130,2022-07-25,4712-12-31,AD,11,08,109856
U130,2022-07-25,4712-12-31,AD,11,09,112763
U130,2022-07-25,4712-12-31,AD,11,10,115688
U130,2022-07-25,4712-12-31,AD,11,11,118633
U130,2022-07-25,4712-12-31,AD,11,12,121588
U130,2022-07-25,4712-12-31,AD,11,13,124564
U130,2022-07-25,4712-12-31,AD,11,14,127550
U130,2022-07-25,4712-12-31,AD,11,15,130541
U130,2022-07-25,4712-12-31,AD,11,16,133536
U130,2022-07-25,4712-12-31,AD,11,17,136536
U130,2022-07-25,4712-12-31,AD,11,18,139527
U130,2022-07-25,4712-12-31,AD,11,19,142521
U130,2022-07-25,4712-12-31,AD,11,20,145511
U130,2022-07-25,4712-12-31,AD,11,21,148487
U130,2022-07-25,4712-12-31,AD,11,22,151442
U130,2022-07-25,4712-12-31,AD,11,23,154393
U130,2022-07-25,4712-12-31,AD,11,24,157315
U130,2022-07-25,4712-12-31,AD,11,25,160218
U130,2022-07-25,4712-12-31,AD,11,26,163095
U130,2022-07-25,4712-12-31,AD,14,07,119610
U130,2022-07-25,4712-12-31,AD,14,08,122496
U130,2022-07-25,4712-12-31,AD,14,09,125395
U130,2022-07-25,4712-12-31,AD,14,10,128322
U130,2022-07-25,4712-12-31,AD,14,11,131266
U130,2022-07-25,4712-12-31,AD,14,12,134227
U130,2022-07-25,4712-12-31,AD,14,13,137200
U130,2022-07-25,4712-12-31,AD,14,14,140181
U130,2022-07-25,4712-12-31,AD,14,15,143174
U130,2022-07-25,4712-12-31,AD,14,16,146170
U130,2022-07-25,4712-12-31,AD,14,17,149166
U130,2022-07-25,4712-12-31,AD,14,18,152167
U130,2022-07-25,4712-12-31,AD,14,19,155156
U130,2022-07-25,4712-12-31,AD,14,20,158148
U130,2022-07-25,4712-12-31,AD,14,21,161121
U130,2022-07-25,4712-12-31,AD,14,22,164079
U130,2022-07-25,4712-12-31,AD,14,23,167028
U130,2022-07-25,4712-12-31,AD,14,24,169954
U130,2022-07-25,4712-12-31,AD,14,25,172857
U130,2022-07-25,4712-12-31,AD,14,26,175731
U130,2022-07-25,4712-12-31,AD,14,27,178578
U130,2022-07-25,4712-12-31,AD,14,28,181390
U130,2022-07-25,4712-12-31,AD,14,29,184166
U130,2022-07-25,4712-12-31,AD,15,00,106706
U130,2022-07-25,4712-12-31,AD,15,01,109378
U130,2022-07-25,4712-12-31,AD,15,02,112081
U130,2022-07-25,4712-12-31,AD,15,03,114821
U130,2022-07-25,4712-12-31,AD,15,04,117591
U130,2022-07-25,4712-12-31,AD,15,05,120391
U130,2022-07-25,4712-12-31,AD,15,06,123222
U130,2022-07-25,4712-12-31,AD,15,07,126078
U130,2022-07-25,4712-12-31,AD,15,08,128966
U130,2022-07-25,4712-12-31,AD,15,09,131867
U130,2022-07-25,4712-12-31,AD,15,10,134794
U130,2022-07-25,4712-12-31,AD,15,11,137739
U130,2022-07-25,4712-12-31,AD,15,12,140696
U130,2022-07-25,4712-12-31,AD,15,13,143674
U130,2022-07-25,4712-12-31,AD,16,17,162112
U130,2022-07-25,4712-12-31,AD,16,18,165111
U130,2022-07-25,4712-12-31,AD,16,19,168104
U130,2022-07-25,4712-12-31,AD,16,20,171084
U130,2022-07-25,4712-12-31,AD,16,21,174064
U130,2022-07-25,4712-12-31,AD,16,22,177026
U130,2022-07-25,4712-12-31,AD,16,23,179970
U130,2022-07-25,4712-12-31,AD,16,24,182897
U130,2022-07-25,4712-12-31,AD,16,25,185800
U130,2022-07-25,4712-12-31,AD,16,26,188676
U130,2022-07-25,4712-12-31,AD,16,27,191518
U130,2022-07-25,4712-12-31,AD,16,28,194335
U130,2022-07-25,4712-12-31,AD,16,29,197110
U130,2022-07-25,4712-12-31,AD,17,00,120881
U130,2022-07-25,4712-12-31,AD,17,01,123555
U130,2022-07-25,4712-12-31,AD,17,02,126260
U130,2022-07-25,4712-12-31,AD,17,03,128994
U130,2022-07-25,4712-12-31,AD,17,04,131766
U130,2022-07-25,4712-12-31,AD,17,05,134570
U130,2022-07-25,4712-12-31,AD,17,06,137400
U130,2022-07-25,4712-12-31,AD,17,07,140259
U130,2022-07-25,4712-12-31,AD,17,08,143140
U130,2022-07-25,4712-12-31,AD,17,09,146042
U130,2022-07-25,4712-12-31,AD,17,10,148972
U130,2022-07-25,4712-12-31,AD,17,11,151915
U130,2022-07-25,4712-12-31,AD,17,12,154875
U130,2022-07-25,4712-12-31,AD,17,13,157851
U130,2022-07-25,4712-12-31,AD,17,14,160832
U130,2022-07-25,4712-12-31,AD,17,15,163824
U130,2022-07-25,4712-12-31,AD,17,16,166816
U130,2022-07-25,4712-12-31,AD,17,17,169818
U130,2022-07-25,4712-12-31,AD,17,18,172816
U130,2022-07-25,4712-12-31,AD,17,19,175806
U130,2022-07-25,4712-12-31,AD,17,20,178792
U130,2022-07-25,4712-12-31,AD,17,21,181764
U130,2022-07-25,4712-12-31,AD,17,22,184731
U130,2022-07-25,4712-12-31,AD,17,23,187676
U130,2022-07-25,4712-12-31,AD,17,24,190601
U130,2022-07-25,4712-12-31,AD,17,25,193506
U130,2022-07-25,4712-12-31,AD,17,26,196381
U130,2022-07-25,4712-12-31,AD,17,27,199228
U130,2022-07-25,4712-12-31,AD,17,28,202041
U130,2022-07-25,4712-12-31,AD,17,29,204812
U130,2022-07-25,4712-12-31,AD,18,00,128592
U130,2022-07-25,4712-12-31,AD,18,01,131262
U130,2022-07-25,4712-12-31,AD,18,02,133961
U130,2022-07-25,4712-12-31,AD,18,03,136699
U130,2022-07-25,4712-12-31,AD,18,04,139474
U130,2022-07-25,4712-12-31,AD,18,05,142272
U130,2022-07-25,4712-12-31,AD,18,06,145107
U130,2022-07-25,4712-12-31,AD,18,07,147964
U130,2022-07-25,4712-12-31,AD,18,08,150846
U130,2022-07-25,4712-12-31,AD,18,09,153749
U130,2022-07-25,4712-12-31,AD,18,10,156677
U130,2022-07-25,4712-12-31,AD,18,11,159621
U130,2022-07-25,4712-12-31,AD,18,12,162583
U130,2022-07-25,4712-12-31,AD,18,13,165553
U130,2022-07-25,4712-12-31,AD,18,14,168537
U130,2022-07-25,4712-12-31,AD,18,15,171527
U130,2022-07-25,4712-12-31,AD,15,14,146657
U130,2022-07-25,4712-12-31,AD,15,15,149646
U130,2022-07-25,4712-12-31,AD,15,16,152645
U130,2022-07-25,4712-12-31,AD,15,17,155642
U130,2022-07-25,4712-12-31,AD,15,18,158637
U130,2022-07-25,4712-12-31,AD,15,19,161632
U130,2022-07-25,4712-12-31,AD,15,20,164618
U130,2022-07-25,4712-12-31,AD,15,21,167590
U130,2022-07-25,4712-12-31,AD,15,22,170553
U130,2022-07-25,4712-12-31,AD,15,23,173500
U130,2022-07-25,4712-12-31,AD,15,24,176423
U130,2022-07-25,4712-12-31,AD,15,25,179329
U130,2022-07-25,4712-12-31,AD,15,26,182204
U130,2022-07-25,4712-12-31,AD,15,27,185050
U130,2022-07-25,4712-12-31,AD,15,28,187866
U130,2022-07-25,4712-12-31,AD,15,29,190639
U130,2022-07-25,4712-12-31,AD,16,00,113178
U130,2022-07-25,4712-12-31,AD,16,01,115852
U130,2022-07-25,4712-12-31,AD,16,02,118556
U130,2022-07-25,4712-12-31,AD,16,03,121289
U130,2022-07-25,4712-12-31,AD,16,04,124062
U130,2022-07-25,4712-12-31,AD,16,05,126863
U130,2022-07-25,4712-12-31,AD,16,06,129697
U130,2022-07-25,4712-12-31,AD,16,07,132555
U130,2022-07-25,4712-12-31,AD,16,08,135437
U130,2022-07-25,4712-12-31,AD,16,09,138341
U130,2022-07-25,4712-12-31,AD,16,10,141269
U130,2022-07-25,4712-12-31,AD,16,11,144212
U130,2022-07-25,4712-12-31,AD,16,12,147175
U130,2022-07-25,4712-12-31,AD,16,13,150144
U130,2022-07-25,4712-12-31,AD,16,14,153127
U130,2022-07-25,4712-12-31,AD,16,15,156116
U130,2022-07-25,4712-12-31,AD,16,16,159112
U130,2022-07-25,4712-12-31,AD,18,16,174524
U130,2022-07-25,4712-12-31,AD,18,17,177519
U130,2022-07-25,4712-12-31,AD,18,18,180519
U130,2022-07-25,4712-12-31,AD,18,19,183515
U130,2022-07-25,4712-12-31,AD,18,20,186499
U130,2022-07-25,4712-12-31,AD,18,21,189473
U130,2022-07-25,4712-12-31,AD,18,22,192436
U130,2022-07-25,4712-12-31,AD,18,23,195379
U130,2022-07-25,4712-12-31,AD,18,24,198310
U130,2022-07-25,4712-12-31,AD,18,25,201210
U130,2022-07-25,4712-12-31,AD,18,26,204084
U130,2022-07-25,4712-12-31,AD,18,27,206933
U130,2022-07-25,4712-12-31,AD,18,28,209744
U130,2022-07-25,4712-12-31,AD,18,29,212519
U150,2022-07-25,4712-12-31,AD,14,07,107168
U150,2022-07-25,4712-12-31,AD,14,08,109752
U150,2022-07-25,4712-12-31,AD,14,09,112353
U150,2022-07-25,4712-12-31,AD,14,10,114978
